s,C,C,C,C,C,C,C,C,kW/m2
Time,"TEMP1","TEMP2","TEMP3","TEMP4","TC1","TC2","TC3","TC4","HEAT_FLUX"
 1.3961745E+002, 1.2883463E+002, 4.5591106E+001, 3.1333438E+001, 3.3698143E+001, 2.0417653E+002, 4.8778388E+001, 3.0466719E+001, 3.2810443E+001, 1.5017467E-002
 1.4059247E+002, 1.1359682E+002, 4.6261483E+001, 3.3353557E+001, 3.3545657E+001, 1.8546242E+002, 4.8347694E+001, 3.0750064E+001, 3.2852607E+001, 1.5157203E-002
 1.4156121E+002, 2.3891363E+002, 4.9018407E+001, 3.4427410E+001, 3.3249312E+001, 1.9589496E+002, 4.8104287E+001, 3.1225941E+001, 3.2860139E+001, 1.5331516E-002
 1.4252079E+002, 1.7227454E+002, 4.9932769E+001, 3.3903523E+001, 3.3013815E+001, 2.0401212E+002, 4.8320798E+001, 3.1702871E+001, 3.2832554E+001, 1.5546254E-002
 1.4349269E+002, 1.5864617E+002, 5.2056668E+001, 3.1812200E+001, 3.2656465E+001, 2.0303355E+002, 4.8578800E+001, 3.1883284E+001, 3.2773119E+001, 1.5604731E-002
 1.4446840E+002, 2.6384936E+002, 5.2729511E+001, 2.9010377E+001, 3.2074838E+001, 2.1530689E+002, 4.9162995E+001, 3.1536085E+001, 3.2659727E+001, 1.5550397E-002
 1.4543543E+002, 1.8000665E+002, 4.8013033E+001, 2.9003514E+001, 3.1569698E+001, 2.2855599E+002, 4.9167440E+001, 3.1102276E+001, 3.2491174E+001, 1.5487830E-002
 1.4640279E+002, 1.8566565E+002, 4.8681982E+001, 2.7393798E+001, 3.1475050E+001, 2.1843014E+002, 4.8995136E+001, 3.0621005E+001, 3.2309346E+001, 1.5351869E-002
 1.4737172E+002, 2.5600609E+002, 4.8455370E+001, 2.7173346E+001, 3.1833999E+001, 2.2439443E+002, 4.8782022E+001, 3.0040133E+001, 3.2168364E+001, 1.5232860E-002
 1.4834296E+002, 2.8758325E+002, 4.9265645E+001, 2.8801628E+001, 3.2486517E+001, 2.5025809E+002, 4.8751700E+001, 2.9721352E+001, 3.2108197E+001, 1.5181590E-002
 1.4931331E+002, 1.8698562E+002, 4.9313087E+001, 3.0565230E+001, 3.3351887E+001, 2.6186763E+002, 4.8714397E+001, 2.9673634E+001, 3.2149431E+001, 1.5193021E-002
 1.5028601E+002, 1.9822422E+002, 5.0702139E+001, 3.1648725E+001, 3.4356555E+001, 2.4061048E+002, 4.8840308E+001, 2.9904137E+001, 3.2303285E+001, 1.5242005E-002
 1.5125311E+002, 2.0318321E+002, 5.0517975E+001, 3.2908050E+001, 3.5193498E+001, 2.3565907E+002, 4.9055531E+001, 3.0270748E+001, 3.2551580E+001, 1.5319965E-002
 1.5223146E+002, 1.9796870E+002, 4.7062494E+001, 3.4633962E+001, 3.5559160E+001, 2.3656381E+002, 4.8925093E+001, 3.0828511E+001, 3.2843594E+001, 1.5416007E-002
 1.5319317E+002, 2.2978175E+002, 5.1707493E+001, 3.6207776E+001, 3.4913837E+001, 2.3074502E+002, 4.8822733E+001, 3.1597503E+001, 3.3082255E+001, 1.5407355E-002
 1.5416861E+002, 3.2118348E+002, 5.7589275E+001, 3.7677844E+001, 3.3739503E+001, 2.5216402E+002, 4.9558734E+001, 3.2485557E+001, 3.3167867E+001, 1.5407263E-002
 1.5514135E+002, 1.7906284E+002, 5.6876487E+001, 3.6529993E+001, 3.2931087E+001, 2.7517711E+002, 5.0710255E+001, 3.3256209E+001, 3.3116171E+001, 1.5356382E-002
 1.5610202E+002, 2.3235412E+002, 4.8463060E+001, 3.3361644E+001, 3.2680789E+001, 2.5458351E+002, 5.0808606E+001, 3.3497799E+001, 3.3010082E+001, 1.5390305E-002
 1.5707716E+002, 1.9220425E+002, 5.0138520E+001, 3.1524959E+001, 3.2879939E+001, 2.4629771E+002, 5.0463684E+001, 3.3230967E+001, 3.2917116E+001, 1.5518226E-002
 1.5805007E+002, 2.2277100E+002, 5.2044129E+001, 3.0029919E+001, 3.3241712E+001, 2.4861806E+002, 5.0522569E+001, 3.2781725E+001, 3.2870900E+001, 1.5759278E-002
 1.5901426E+002, 2.4169162E+002, 5.5261863E+001, 2.7845737E+001, 3.3578488E+001, 2.4836625E+002, 5.0968532E+001, 3.2097342E+001, 3.2873140E+001, 1.6010251E-002
 1.5998574E+002, 1.2939874E+002, 5.2322155E+001, 2.8888575E+001, 3.3871316E+001, 2.3170494E+002, 5.1530067E+001, 3.1394647E+001, 3.2915966E+001, 1.6159977E-002
 1.6095751E+002, 1.4166523E+002, 4.1925025E+001, 3.2565098E+001, 3.3991785E+001, 2.0958905E+002, 5.0826695E+001, 3.1295345E+001, 3.2980585E+001, 1.6119448E-002
